name,city,priority_rank
ÖZEL ANKARA ZAFER FEN LİSESİ,ANKARA,3
ÖZEL ANTALYA DOĞA FEN LİSESİ,ANTALYA,3
HAYME ANA KIZ ANADOLU İMAM HATİP LİSESİ,ANTALYA,3
ÖZEL RASİM ŞAHİNKAYA FEN LİSESİ,BURSA,3
ÖZEL BAHÇEŞEHİR KOLEJİ KUZEY KAMPÜSÜ FEN LİSESİ,İZMİR,3
ORDU FEN LİSESİ,ORDU,3
ÖZEL YAŞAM TASARIM FEN LİSESİ,ANTALYA,3
ÖZEL DİLTAŞ ANADOLU LİSESİ,KONYA,3
SERVETİYE CEPHESİ ANADOLU LİSESİ,KOCAELİ,3
ÖZEL GAZİANTEP EMEK BİREY FEN LİSESİ,GAZİANTEP,3
BOR ŞEHİT RAMAZAN KONUŞ FEN LİSESİ,NİĞDE,3
ÖZEL ORDU FİNAL FEN LİSESİ,ORDU,3
ÖZEL ENKA MESLEKİ VE TEKNİK ANADOLU LİSESİ,KOCAELİ,3
ÖZEL BUCAK KOLEJİ FEN LİSESİ,BURDUR,3
PROF.DR.İLHAN KILIÇÖZLÜ FEN LİSESİ,KIRŞEHİR,3
ÖZEL DÜŞÜNÜR KOLEJİ FEN LİSESİ,VAN,3
M.EMİN SARAÇ ANADOLU İMAM HATİP LİSESİ,İSTANBUL,3
ÖZEL BOZOVA BÜYÜK DEĞİŞİM ANADOLU LİSESİ,ŞANLIURFA,3
ÖZEL KARABÜK BAHÇEŞEHİR KOLEJİ FEN LİSESİ,KARABÜK,3
DÖRTYOL FEN LİSESİ,HATAY,3
GÖNÜLLÜ HİZMET VAKFI MUSTAFA SAFFET FEN LİSESİ,İSTANBUL,3
SELÇUKLU FEN LİSESİ,KONYA,3
BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT FEN LİSESİ,ADANA,3
HATAY FEN LİSESİ,HATAY,3
ÖZEL YÜKSELEN KOLEJİ FEN LİSESİ,ANKARA,3
BORNOVA ANADOLU LİSESİ,İZMİR,3
ÖZEL ÇAĞDAŞ FEN LİSESİ,ESKİŞEHİR,3
TOBB FEN LİSESİ,ŞANLIURFA,3
ÖZEL AFYONKARAHİSAR BAHÇEŞEHİR UĞUR ANADOLU LİSESİ,AFYONKARAHİSAR,3
KÖY HİZMETLERİ ANADOLU LİSESİ,İSTANBUL,3
ÖZEL KARİYER KOLEJİ FEN LİSESİ,ANKARA,3
ULUSLARARASI ASHABI KEHF ANADOLU İMAM HATİP LİSESİ,MERSİN,3
KADIKÖY ANADOLU İMAM HATİP LİSESİ,İSTANBUL,3
ÖZEL ÜNYE BAHÇEŞEHİR FEN LİSESİ,ORDU,3
KOZAN FEN LİSESİ,ADANA,3
REKABET KURUMU ANADOLU LİSESİ,DİYARBAKIR,4
TÜRK EĞİTİM VAKFI ÖZEL İNANÇ TÜRKEŞ ANADOLU LİSESİ,KOCAELİ,4
EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ,EDİRNE,4
DOĞAN CÜCELOĞLU FEN LİSESİ,İSTANBUL,4
HAKKI DEMİR ANADOLU İMAM HATİP LİSESİ,İSTANBUL,4
TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,KARAMAN,4
MİDYAT FEN LİSESİ,MARDİN,4
ÖZEL GAZİANTEP DOĞA FEN LİSESİ,GAZİANTEP,4
TED DİYARBAKIR KOLEJİ ÖZEL ANADOLU LİSESİ,DİYARBAKIR,4
ÖZEL YÜKSELEN FEN LİSESİ,ANKARA,4
ŞEHZADELER GEDİZ ANADOLU LİSESİ,MANİSA,4
BUCAK ADEM TOLUNAY FEN LİSESİ,BURDUR,4
ÖZEL ŞEHİTKAMİL UYGAR FEN LİSESİ,GAZİANTEP,4
REFİK ARSLAN ÖZTÜRK FEN LİSESİ,BİLECİK,4
75.YIL FEN LİSESİ,MERSİN,4
ÖZEL BENİM FEN LİSESİ,GAZİANTEP,4
VALİ AYDIN ARSLAN FEN LİSESİ,DİYARBAKIR,4
AĞRI HÜSEYİN CELAL YARDIMCI FEN LİSESİ,AĞRI,4
ALANYA ANADOLU İMAM HATİP LİSESİ,ANTALYA,4
ÖZEL KİPAŞ FEN LİSESİ,KAHRAMANMARAŞ,4
GÖLCÜK FEN LİSESİ,KOCAELİ,4
FATMA ALİYE FEN LİSESİ,BATMAN,4
MERAM ANADOLU LİSESİ,KONYA,4
ÖZEL GAYE FEN LİSESİ,MERSİN,4
TED ANTALYA KOLEJİ ÖZEL LİSESİ,ANTALYA,4
ÖZEL İBRAHİMARI ANADOLU LİSESİ,GAZİANTEP,4
ŞEHİT MEHMET ŞENGÜL FEN LİSESİ,ESKİŞEHİR,4
ÖZEL ÇAĞLAYAN ERKEK FEN LİSESİ,ANKARA,4
ÖZEL BORNOVA FİNAL FEN LİSESİ,İZMİR,4
YEŞİLKÖY ANADOLU LİSESİ,İSTANBUL,4
ÖZEL AKSARAY VİZYON AKADEMİ FEN LİSESİ,AKSARAY,4
TED ÖZEL EGE ANADOLU LİSESİ,AYDIN,4
ANKARA ATATÜRK LİSESİ,ANKARA,4
ÖZEL ELAZIĞ YÖNTEMİM FEN LİSESİ,ELAZIĞ,4
ÖZEL DEVA FEN VE TEKNOLOJİ LİSESİ,GAZİANTEP,4
ÖZEL ARI ANADOLU LİSESİ,ANKARA,4
ÖZEL KONYA NESİBE AYDIN FEN LİSESİ,KONYA,4
ÖZEL NESİBE AYDIN YILDIZLAR FEN LİSESİ,ANKARA,4
ÖZEL ÖZEN ANADOLU LİSESİ,MERSİN,4
ŞEHİT ÖZCAN KAN FEN LİSESİ,KOCAELİ,4
SELÇUKLU ANADOLU LİSESİ,KONYA,4
MEHMET EMİN RESULZADE ANADOLU LİSESİ,ANKARA,4
ÖZEL BİLFEN KAYSERİ FEN LİSESİ,KAYSERİ,4
PROF. DR. ABDULKADİR KARAHAN FEN LİSESİ,ŞANLIURFA,4
AKŞEHİR HACI SIDDIKA BAYSAL FEN LİSESİ,KONYA,4
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ,ANKARA,4
ÖZEL NESİBE AYDIN FEN LİSESİ,ANKARA,4
ÖZEL ŞANLIURFA SİMYA FEN LİSESİ,ŞANLIURFA,4
ÖZEL YENİ ORTADOĞU FEN LİSESİ,DİYARBAKIR,4
ÖZEL AFYON İSTEK FEN LİSESİ,AFYONKARAHİSAR,4
NEVŞEHİR FEVZİ DİRİKOÇ FEN LİSESİ,NEVŞEHİR,4
CEDİDE ABALIOĞLU ANADOLU İMAM HATİP LİSESİ,DENİZLİ,4
FMV ÖZEL AYAZAĞA IŞIK FEN LİSESİ,İSTANBUL,4
TED ÖZEL ADANA KOLEJİ ANADOLU LİSESİ,ADANA,4
DR.BİNNAZ EGE-DR.RIDVAN EGE ANADOLU LİSESİ,ANKARA,4
İTÜ GELİŞTİRME VAKFI ÖZEL EKREM ELGİNKAN LİSESİ,İSTANBUL,4
ŞEHİT MUSTAFA SERİN FEN LİSESİ,BALIKESİR,4
ÖZEL KUMLUCA SINAV FEN LİSESİ,ANTALYA,4
ÇORLU BORSA İSTANBUL FEN LİSESİ,TEKİRDAĞ,4
ÖZEL BOĞAZİÇİ ANADOLU LİSESİ,ISPARTA,4
ÖZEL OSMANİYE BAHÇEŞEHİR KOLEJİ FEN LİSESİ,OSMANİYE,4
ÖZEL BAŞARAN ANADOLU LİSESİ,KIRIKKALE,4
ÖZEL ENVAR FEN LİSESİ,ANTALYA,4
NUSAYBİN ANADOLU LİSESİ,MARDİN,4
ÖZEL SANKO KOLEJİ,GAZİANTEP,4
HASAN AYBABA ANADOLU LİSESİ,OSMANİYE,4
ÖZEL BİLFEN İSKENDERUN FEN LİSESİ,HATAY,4
MEHMET TEKİNALP ANADOLU LİSESİ,İSTANBUL,4
ÖZEL EVRENSEL FEN LİSESİ,ANKARA,4
KİLİS MEHMET ZELZELE FEN LİSESİ,KİLİS,4
ÖZEL ATAYURT FEN LİSESİ,ESKİŞEHİR,4
ÇEAS ANADOLU LİSESİ,ADANA,4
YOZGAT ŞEHİTLER FEN LİSESİ,YOZGAT,4
MAHMUT CELALEDDİN ÖKTEN ANADOLU İMAM HATİP LİSESİ,TRABZON,4
TERAKKİ VAKFI ÖZEL ŞİŞLİ TERAKKİ TEPEÖREN ANADOLU LİSESİ,İSTANBUL,4
MEVLÜDE-AHMET DOĞANAY FEN LİSESİ,YOZGAT,4
ÖZEL DALAMAN BAHÇEŞEHİR FEN LİSESİ,MUĞLA,4
YUSUF KEMALETTİN PERİN FEN LİSESİ,İZMİR,4
İBRAHİM-SÜHEYLA İZMİRLİ FEN LİSESİ,ZONGULDAK,4
ÖZEL KARS BAHÇEŞEHİR KOLEJİ FEN LİSESİ,KARS,4
TED ISPARTA KOLEJİ ÖZEL LİSESİ,ISPARTA,4
NİLÜFER ANADOLU İMAM HATİP LİSESİ,BURSA,4
ÖZEL FORM KAMPÜS FEN LİSESİ,KONYA,4
İSTEK ÖZEL ACIBADEM FEN LİSESİ,İSTANBUL,4
DÜZCE FEN LİSESİ,DÜZCE,4
ÖZEL KÜLTÜR 2000 FEN LİSESİ,İSTANBUL,5
MUŞ FEN LİSESİ,MUŞ,5
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL ANADOLU LİSESİ,ANKARA,5
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL FEN VE TEKNOLOJİ LİSESİ,ANKARA,5
FETULLAH BAYIR FEN LİSESİ,KONYA,5
ÖZEL İSTEK ANTALYA KONYAALTI FEN LİSESİ,ANTALYA,5
ÖZEL TEST TEKNİK ÇAĞI FEN LİSESİ,ADIYAMAN,5
ANTALYA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,ANTALYA,5
FATMA MEHMET CADIL FEN LİSESİ,ANTALYA,5
ÖZEL MANİSA BAHÇEŞEHİR KOLEJİ FEN LSESİ,MANİSA,5
ŞEHİT ERHAN DURAL KIZ ANADOLU İMAM HATİP LİSESİ,RİZE,5
ÇAN FEN LİSESİ,ÇANAKKALE,5
SOMA BORSA İSTANBUL FEN LİSESİ,MANİSA,5
SELİM NEVZAT ŞAHİN ANADOLU LİSESİ,HATAY,5
ÖZEL İNCİRLİOVA BAHÇEŞEHİR ANADOLU LİSESİ,AYDIN,5
DARICA FEN LİSESİ,KOCAELİ,5
PROF. DR. NECMEDDİN ERBAKAN FEN LİSESİ,ERZURUM,5
ADAPAZARI ÖZEL ENKA ANADOLU LİSESİ,SAKARYA,5
SABAHAT-CEMİL ULUPINAR FEN LİSESİ,ZONGULDAK,5
SEVAL-AHMET ÇETİN FEN LİSESİ,TEKİRDAĞ,5
İPEKYOLU BORSA İSTANBUL FEN LİSESİ,VAN,5
ÖZEL KONYA ESENTEPE FEN LİSESİ,KONYA,5
ÖZEL KOCAELİ NESİBE AYDIN FEN LİSESİ,KOCAELİ,5
MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ,KONYA,5
CAHİT ELGİNKAN ANADOLU LİSESİ,KOCAELİ,5
ÖZEL MURADİYE ERKEK FEN LİSESİ,ANKARA,5
ÖZEL BATMAN FİNAL FEN LİSESİ,BATMAN,5
ÖZEL KAYSERİ FİNAL FEN LİSESİ,KAYSERİ,5
TÜRKİYE BÜYÜK MİLLET MECLİSİ VAKFI BİNGÖL FEN LİSESİ,BİNGÖL,5
SUAT TERİMER ANADOLU LİSESİ,İSTANBUL,5
BAHÇELİEVLER ANADOLU LİSESİ,İSTANBUL,5
ÇUKUROVA ELEKTRİK ANADOLU LİSESİ,KAHRAMANMARAŞ,5
ÖZEL ESKİŞEHİR BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ,ESKİŞEHİR,5
