Rank,High School,Total Students
172,ÖZEL BAHÇEŞEHİR FEN LİSESİ (KAYSERİ - MELİKGAZİ),3
173,ÖZEL TARSUS AMERİKAN KOLEJİ (MERSİN - TARSUS),3
174,ÖZEL ÜSKÜDAR AMERİKAN LİSESİ (İSTANBUL - ÜSKÜDAR),3
175,ŞÜKRÜ ŞANKAYA ANADOLU LİSESİ (BURSA - OSMANGAZİ),3
176,TED ISPARTA KOLEJİ ÖZEL LİSESİ (ISPARTA - MERKEZ),3
177,TED KOCAELİ KOLEJİ ÖZEL ANADOLU LİSESİ (KOCAELİ - BAŞİSKELE),3
178,YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),3
179,ADANA ANADOLU LİSESİ (ADANA - ÇUKUROVA),3
180,ÖZEL KIRŞEHİR ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),3
181,ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),3
182,MEV KOLEJİ ÖZEL GÜZELBAHÇE FEN LİSESİ (İZMİR - GÜZELBAHÇE),3
183,ÖZEL ÇAYYOLU BEYTEPE ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
184,ÖZEL KONYA ŞEHİR ANADOLU LİSESİ (KONYA - SELÇUKLU),3
185,NAMIK KARAMANCI FEN LİSESİ (ANTALYA - MANAVGAT),3
186,ATAKUM ANADOLU İMAM HATİP LİSESİ (SAMSUN - ATAKUM),3
187,AKSARAY ŞEHİT PİLOT HAMZA GÜMÜŞSOY FEN LİSESİ (AKSARAY - MERKEZ),3
188,AYHAN SÜMER ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
189,ÖZEL MOD ERYAMAN ANADOLU LİSESİ (ANKARA - ETİMESGUT),3
190,ÖZEL ÜÇ MART HALİL GÜLEÇ FEN LİSESİ (BURSA - NİLÜFER),3
191,TED BODRUM KOLEJİ ÖZEL ANADOLU LİSESİ (MUĞLA - BODRUM),3
192,ÖZEL ÇUKURAMBAR DOĞA ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
193,İSTEK ÖZEL KEMAL ATATÜRK ANADOLU LİSESİ (İSTANBUL - SARIYER),3
194,ÖZEL KONYA SİSTEM FEN LİSESİ (KONYA - SELÇUKLU),3
195,ÖZEL BEŞTEPE ANADOLU LİSESİ (ANKARA - GÖLBAŞI),3
196,ÖZEL ÜMİTKÖY SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
197,ÖZEL BEŞGEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
198,ÖZEL TAN ANADOLU LİSESİ (BURSA - NİLÜFER),3
199,SELÇUKLU ANADOLU LİSESİ (KONYA - SELÇUKLU),3
200,ÖZEL DİYARBAKIR BAHÇEŞEHİR FEN LİSESİ (DİYARBAKIR - SUR),3
201,DÜZCE FEN LİSESİ (DÜZCE - MERKEZ),3
202,ÖZEL AŞİYAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
203,ÖZEL BATI KAVRAM ANADOLI LİSESİ (ANKARA - YENİMAHALLE),2
204,ÖZEL BATIKENT YÖNDER ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2
205,ÖZEL ERASLAN ANADOLU LİSESİ (İZMİR - KARŞIYAKA),2
206,ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL ANADOLU LİSESİ (İZMİR - BORNOVA),2
207,ÖZEL MERSİN BAHÇEŞEHİR ANADOLU LİSESİ (MERSİN - TOROSLAR),2
208,ÖZEL MESAİ KOLEJİ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),2
209,ÖZEL TÜRK KOLEJİ MARMARİS ANADOLU LİSESİ (MUĞLA - MARMARİS),2
210,ÖZEL YÜCE FEN LİSESİ (ANKARA - ÇANKAYA),2
211,ÖZEL ERYAMAN SINAV KOLEJİ ANADOLU LİSESİ (ANKARA - ETİMESGUT),2
212,ÖZEL YILDIZ SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
213,SEVAL-AHMET ÇETİN FEN LİSESİ (TEKİRDAĞ - ÇERKEZKÖY),2
214,EREĞLİ FEN LİSESİ (KONYA - EREĞLİ),2
215,FATİH ANADOLU LİSESİ (MANİSA - YUNUSEMRE),2
216,KAYA KARAKAYA FEN LİSESİ (ELAZIĞ - MERKEZ),2
217,MERAM ANADOLU LİSESİ (KONYA - MERAM),2
218,MUAMMER DERELİ FEN LİSESİ (KOCAELİ - İZMİT),2
219,MUSTAFA KAYNAK ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),2
220,SELÇUKLU FEN LİSESİ (KONYA - SELÇUKLU),2
221,AKŞEHİR HACI SIDDIKA BAYSAL FEN LİSESİ (KONYA - AKŞEHİR),2
222,GÖLBAŞI ANADOLU LİSESİ (ANKARA - GÖLBAŞI),2
223,ÖZEL ARSUZ TEK KAMPÜS ANADOLU LİSESİ (HATAY - ARSUZ),2
224,ÖZEL BAŞARAN ANADOLU LİSESİ (KIRIKKALE - MERKEZ),2
225,ÖZEL KANYON ANADOLU LİSESİ (UŞAK - MERKEZ),2
226,ÖZEL ÖZ EVLER KAMPÜS ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2
227,ÖZEL ÜÇ MART ULVİYE-ZİYA GÖKALP ÖZER ANADOLU LİSESİ (BURSA - NİLÜFER),2
228,HÜSEYİN AVNİ SÖZEN ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),2
229,ÖZEL ADANA FEN LİSESİ (ADANA - SEYHAN),2
230,ÖZEL ANKARA FİNAL ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2
231,ÖZEL BALGAT UĞUR ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
232,ÖZEL ÇANKAYA KAMPÜS ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
233,ÖZEL İSTEM KOLEJİ FEN LİSESİ (KAYSERİ - MELİKGAZİ),2
234,AKSU FEN LİSESİ (ANTALYA - AKSU),2
235,ÖZEL ÇORLU NAZMİ ARIKAN FEN BİLİMLERİ FEN LİSESİ (TEKİRDAĞ - ÇORLU),2
236,ÖZEL ETLİK SINAV ANADOLU LİSESİ (ANKARA - KEÇİÖREN),2
237,YUSUF KEMALETTİN PERİN FEN LİSESİ (İZMİR - BERGAMA),2
238,ÇİĞLİ FEN LİSESİ (İZMİR - ÇİĞLİ),2
239,EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),2
240,ÖZEL BALIKESİR AÇI FEN LİSESİ (BALIKESİR - ALTIEYLÜL),2
241,ÖZEL KANYON KOLEJİ FEN LİSESİ (UŞAK - MERKEZ),2
242,ÖZEL SAMSUN FİNAL FEN LİSESİ (SAMSUN - ATAKUM),2
243,SÜLEYMAN DEMİREL FEN LİSESİ (AFYONKARAHİSAR - MERKEZ),2
244,TOKAT MİLLİ PİYANGO İHYA BALAK FEN LİSESİ (TOKAT - MERKEZ),2
245,ÖZEL ALTIN EĞİTİM ANADOLU LİSESİ (ANKARA - ETİMESGUT),2
246,ÖZEL BİLİM KOLEJİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
247,ÖZEL İDEAL BEŞGEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
248,ÖZEL İSTEK ANTALYA LARA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2
249,ÖZEL AFYONKARAHİSAR BAHÇEŞEHİR UĞUR ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),2
250,ÖZEL MAT TEMATİK KOLEJİ ANADOLU LİSESİ (BURSA - NİLÜFER),2
251,ÖZEL PROFESYONEL İLGİM ANADOLU LİSESİ (MUĞLA - MARMARİS),2
252,TED İSTANBUL KOLEJİ VAKFI ÖZEL LİSESİ (İSTANBUL - BEYKOZ),2
253,ÜMİTKÖY KIZ ANADOLU İMAM HATİP LİSESİ (ANKARA - ÇANKAYA),2
254,İSTANBULLUOĞLU SOSYAL BİLİMLER LİSESİ (BALIKESİR - KARESİ),2
255,ÖZEL ANKARA ZAFER ANADOLU LİSESİ (ANKARA - ETİMESGUT),2
256,ÖZEL BAŞAK ANADOLU LİSESİ (AYDIN - EFELER),2
257,ÖZEL BİLFEN ANTALYA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2
258,ÖZEL EMİNE ÖRNEK KOLEJİ (BURSA - MUDANYA),2
259,ÖZEL ESKİŞEHİR BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (ESKİŞEHİR - TEPEBAŞI),2
260,ÖZEL HOŞDERE SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
261,ÖZEL MUĞLA TEKNOLOJİ VE KÜLTÜR ANADOLU LİSESİ (MUĞLA - MENTEŞE),2
262,ÖZEL ORDU FİNAL FEN LİSESİ (ORDU - ALTINORDU),2
263,ÖZEL SAINT BENOIT FRANSIZ LİSESİ (İSTANBUL - BEYOĞLU),2
264,ÖZEL SAMSUN FİNAL KOLEJİ (SAMSUN - ATAKUM),2
265,ÖZEL YENİ ORTADOĞU FEN LİSESİ (DİYARBAKIR - KAYAPINAR),2
