High School,Total,New Graduates,Previous Graduates,Success Rank
ÖZEL ALTINYILDIZ FEN LİSESİ (NEVŞEHİR - MERKEZ),1,1,0,532
ÖZEL KIRŞEHİR SİMYA FEN LİSESİ (KIRŞEHİR - MERKEZ),1,1,0,532
ÖZEL KİPAŞ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,1,0,532
ÖZEL SARAÇ İLGİ OKULLARI FEN LİSESİ (ŞANLIURFA - KARAKÖPRÜ),2,2,0,532
ÖZEL ŞANLIURFA YÜKSELİŞ KOLEJİ FEN VE TEKNOLOJİ LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1,1,0,532
TOBB FEN LİSESİ (ŞANLIURFA - HALİLİYE),1,1,0,532
Toplam,18,18,0,758
ÖZEL BALIKESİR AÇI FEN LİSESİ (BALIKESİR - ALTIEYLÜL),1,1,0,758
ÖZEL BODRUM MARMARA KOLEJİ FEN LİSESİ (MUĞLA - BODRUM),1,1,0,758
ÖZEL GAZİANTEP BAL ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,758
ÖZEL ISPARTA BAHÇEŞEHİR ANADOLU LİSESİ (ISPARTA - MERKEZ),1,1,0,758
ÖZEL KARDELEN FEN LİSESİ (NEVŞEHİR - MERKEZ),1,1,0,758
ÖZEL TAN FEN LİSESİ (BURSA - NİLÜFER),1,1,0,758
ÖZEL ZÜBEYDE HANIM FEN LİSESİ (İZMİR - BUCA),1,1,0,758
PROF DR. FUAT SEZGİN FEN LİSESİ (İSTANBUL - SİLİVRİ),1,1,0,758
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,758
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,758
AKSARAY ŞEHİT PİLOT HAMZA GÜMÜŞSOY FEN LİSESİ (AKSARAY - MERKEZ),1,1,0,758
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,758
ENERJİSA BANDIRMA FEN LİSESİ (BALIKESİR - BANDIRMA),1,1,0,758
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1,1,0,758
KABATAŞ ERKEK LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,758
KARŞIYAKA CİHAT KORA ANADOLU LİSESİ (İZMİR - KARŞIYAKA),2,2,0,758
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,758
Toplam,115,112,3,945
ATATÜRK ANADOLU LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,945
ATATÜRK LİSESİ (İZMİR - KONAK),1,1,0,945
