High School,Total_Instances,Success_Ranks
ŞEHİT ÖMER TAKDEMİR ANADOLU İMAM HATİP LİSESİ (ANKARA - ÇUBUK),5,"[9.61, 15.007, 30.671, 32.565, 35.968]"
İSMET AYŞE BEHZATOĞLU ANADOLU LİSESİ (HATAY - REYHANLI),5,"[16.846, 25.044, 26.382, 26.429, 36.077]"
ÇORUM BELEDİYESİ PROF. DR. HAYREDDİN KARAMAN ANADOLU İMAM HATİP LİSESİ (ÇORUM - MERKEZ),4,"[9.589, 18.907, 23.272, 31.102]"
BÜNYAN FEN LİSESİ (KAYSERİ - BÜNYAN),4,"[8.201, 14.136, 33.097, 37.569]"
ŞEHİT MEHMET KARACATİLKİ ANADOLU İMAM HATİP LİSESİ (OSMANİYE - MERKEZ),4,"[17.942, 27.311, 34.778, 36.077]"
BURSA ATATÜRK ANADOLU LİSESİ (BURSA - OSMANGAZİ),4,"[17.273, 18.907, 27.595, 32.565]"
NECİP FAZIL KISAKÜREK FEN LİSESİ (MANİSA - DEMİRCİ),4,"[14.988, 24.094, 27.595, 32.946]"
AHMET NAZİF ZORLU FEN LİSESİ (DENİZLİ - BABADAĞ),4,"[10.165, 20.156, 35.417, 35.666]"
PROF.DR.NECMETTİN ERBAKAN ANADOLU İMAM HATİP LİSESİ (ŞANLIURFA - HALİLİYE),4,"[8.58, 23.323, 29.333, 36.077]"
ÖZEL GAZİANTEP BAHÇEŞEHİR KOLEJİ FEN TEKNOLOJİ LİSESİ (GAZİANTEP - ŞAHİNBEY),4,"[10.165, 15.66, 16.846, 29.049]"
ŞEHİT EROL OLÇOK ANADOLU İMAM HATİP LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),4,"[10.795, 27.956, 30.469, 30.608]"
ÖZEL ERYAMAN SINAV KOLEJİ FEN LİSESİ (ANKARA - ETİMESGUT),4,"[6.31, 15.819, 21.103, 37.839]"
ÖZEL GAZİOSMANPAŞA ŞEFKAT FEN LİSESİ (İSTANBUL - GAZİOSMANPAŞA),4,"[3.356, 6.545, 12.336, 27.165]"
ÖZEL GAZİANTEP KÜLTÜR FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),4,"[1.242, 3.294, 17.273, 36.077]"
ŞEHİT ERHAN DURAL KIZ ANADOLU İMAM HATİP LİSESİ (RİZE - MERKEZ),4,"[9.589, 16.761, 17.071, 23.094]"
NURİ NİHAT ASLANOBA ANADOLU LİSESİ (BURSA - YILDIRIM),4,"[16.19, 19.139, 20.962, 24.13]"
ÖZEL ANKARA AÇILIM KOLEJİ FEN LİSESİ (ANKARA - ÇANKAYA),4,"[16.052, 21.427, 22.192, 28.342]"
ÖZEL TAKEV FEN LİSESİ (İZMİR - NARLIDERE),4,"[3.658, 15.66, 20.33, 34.888]"
ÖZEL SİMYA FEN LİSESİ (HATAY - BELEN),4,"[2.086, 16.846, 25.044, 26.429]"
ÖZEL GAZİANTEP BİLFEN FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),4,"[1.419, 6.639, 12.286, 34.888]"
ÖZEL TOKAT YÖNTEM ANADOLU LİSESİ (TOKAT - MERKEZ),4,"[14.136, 23.094, 26.345, 30.608]"
ÇORUM BAŞÖĞRETMEN ANADOLU LİSESİ (ÇORUM - MERKEZ),4,"[25.654, 30.795, 31.544, 36.548]"
ÖZEL SAMSUN ATAKENT FİNAL AKADEMİ FEN LİSESİ (SAMSUN - ATAKUM),4,"[5.725, 28.1, 30.469, 31.544]"
ÖZEL ANKARA UĞUR ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[4.686, 5.199, 15.007, 18.769]"
ÖZEL ANKARA ÇÖZÜM KOLEJİ FEN LİSESİ (ANKARA - KEÇİÖREN),4,"[7.571, 12.201, 13.485, 22.161]"
ŞEHİT ALİ ER ANADOLU LİSESİ (AKSARAY - MERKEZ),4,"[10.901, 27.427, 31.544, 39.392]"
ŞEHİT ABDULLAH ÜMİT SERCAN ANADOLU LİSESİ (ANTALYA - ALANYA),4,"[13.25, 23.389, 27.586, 38.608]"
ROTARY 100.YIL ANADOLU LİSESİ (İSTANBUL - SARIYER),4,"[23.36, 24.461, 26.345, 39.123]"
ÖZEL ELAZIĞ YÖNTEMİM ANADOLU LİSESİ (ELAZIĞ - MERKEZ),4,"[23.646, 26.897, 29.182, 31.66]"
RECEP TAYYİP ERDOĞAN ANADOLU İMAM HATİP LİSESİ (BURDUR - MERKEZ),4,"[5.725, 29.182, 34.285, 35.666]"
ÖZEL DÜZCE UĞUR FEN LİSESİ (DÜZCE - MERKEZ),4,"[2.053, 12.342, 20.156, 22.314]"
ÖZEL DÜZİÇİ SINAV ANADOLU LİSESİ (OSMANİYE - DÜZİÇİ),4,"[8.201, 27.311, 29.883, 34.285]"
ÖZEL EDİRNE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (EDİRNE - MERKEZ),4,"[1.734, 5.29, 13.45, 37.31]"
ÖZEL DİYARBAKIR BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (DİYARBAKIR - SUR),4,"[7.32, 12.683, 13.45, 19.077]"
ÖZEL DİYARBAKIR HÜRRİYET FEN LİSESİ (DİYARBAKIR - KAYAPINAR),4,"[7.571, 14.398, 23.284, 29.333]"
MİLAS ANADOLU LİSESİ (MUĞLA - MİLAS),4,"[14.988, 16.761, 18.333, 30.913]"
ŞEHİT MURAT KOCATÜRK ANADOLU İMAM HATİP LİSESİ (İSTANBUL - AVCILAR),4,"[11.277, 27.177, 31.102, 36.548]"
ŞEHİT VELİT BEKDAŞ ANADOLU LİSESİ (ANKARA - ETİMESGUT),4,"[13.324, 26.345, 27.586, 37.839]"
ŞEHİT SÜLEYMAN SORKUT ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),4,"[23.448, 23.457, 36.794, 39.508]"
ÖZEL FETHİYE AKADEMİ FEN LİSESİ (MUĞLA - FETHİYE),4,"[7.42, 24.461, 26.044, 28.414]"
ŞEHİT ŞİRİN DİRİL KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),4,"[6.399, 10.165, 29.182, 35.472]"
ŞEVKİYE ÖZEL FEN LİSESİ (DENİZLİ - ÇİVRİL),4,"[12.286, 17.383, 34.285, 35.496]"
ŞIRNAK ANADOLU LİSESİ (ŞIRNAK - MERKEZ),4,"[23.448, 28.414, 30.469, 31.66]"
ÖZEL ESKİŞEHİR BAŞARI ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),4,"[5.29, 12.683, 20.538, 32.565]"
SAVRUN ŞEHİT MUSTAFA ÇİĞİLOĞLU ANADOLU LİSESİ (OSMANİYE - KADİRLİ),4,"[25.654, 27.311, 28.704, 36.316]"
ALİ RIZA ÖZDERİCİ KIZ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),4,"[21.427, 28.1, 32.565, 33.097]"
ÖZEL HATAY SINAV KOLEJİ FEN LİSESİ (HATAY - DEFNE),4,"[23.272, 26.429, 32.228, 36.271]"
ÖZEL HİSARCIKLIOĞLU FEN LİSESİ (KAYSERİ - MELİKGAZİ),4,"[14.136, 27.034, 33.097, 39.392]"
FETHİYE ANADOLU LİSESİ (MUĞLA - FETHİYE),4,"[17.273, 23.389, 27.516, 31.45]"
GEBZE ANADOLU LİSESİ (KOCAELİ - GEBZE),4,"[22.314, 32.79, 36.548, 38.057]"
İTÜ GELİŞTİRME VAKFI ÖZEL EKREM ELGİNKAN LİSESİ (İSTANBUL - SARIYER),4,"[2.053, 14.089, 16.394, 31.493]"
ÖZEL ISPARTA DOĞA ANADOLU LİSESİ (ISPARTA - MERKEZ),4,"[10.925, 17.824, 22.161, 34.285]"
İZMİR BÜYÜKÇİĞLİ ÖZEL TÜRK KOLEJİ FEN LİSESİ (İZMİR - ÇİĞLİ),4,"[1.288, 2.053, 6.399, 22.581]"
İSTEK ÖZEL KEMAL ATATÜRK FEN LİSESİ (İSTANBUL - SARIYER),4,"[1.311, 7.42, 13.487, 36.423]"
CAHİT ELGİNKAN ANADOLU LİSESİ (KOCAELİ - İZMİT),4,"[7.32, 13.125, 13.176, 32.79]"
ÖZEL SAMSUN BOĞAZİÇİ FEN LİSESİ (SAMSUN - ATAKUM),4,"[11.721, 28.414, 31.544, 33.211]"
KARAKÖPRÜ HATİCE KÜBRA KIZ ANADOLU İMAM HATİP LİSESİ (ŞANLIURFA - KARAKÖPRÜ),4,"[11.277, 23.284, 30.469, 32.565]"
KAYSERİ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),4,"[14.136, 21.427, 33.097, 35.36]"
KAZIM KARABEKİR FEN LİSESİ (YOZGAT - AKDAĞMADENİ),4,"[14.988, 23.284, 36.271, 39.558]"
KAPAKLI ANADOLU LİSESİ (TEKİRDAĞ - KAPAKLI),4,"[7.32, 20.419, 25.811, 38.057]"
ÖZEL AMASYA AÇI ANADOLU LİSESİ (AMASYA - MERKEZ),4,"[16.761, 27.516, 28.1, 36.937]"
ÖZEL ALAŞEHİR BAHÇEŞEHİR KOLEJİ FEN LİSESİ (MANİSA - ALAŞEHİR),4,"[5.29, 14.988, 29.256, 35.666]"
ÖZEL SULAR ANADOLU LİSESİ (ADANA - SEYHAN),4,"[6.639, 8.58, 34.2, 37.002]"
ÖZEL ANTALYA AÇI FEN LİSESİ (ANTALYA - MURATPAŞA),4,"[8.58, 29.333, 34.285, 35.666]"
ÖZEL TUZKAYA ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[13.45, 25.811, 30.608, 33.408]"
ÖZEL TEST TEKNİK ÇAĞI FEN LİSESİ (ADIYAMAN - MERKEZ),4,"[5.199, 16.846, 17.824, 26.474]"
YÜKSEL ACUN ANADOLU LİSESİ (HATAY - SAMANDAĞ),4,"[14.61, 29.333, 31.66, 33.982]"
KANDIRA AKÇAKOCA ANADOLU LİSESİ (KOCAELİ - KANDIRA),4,"[13.547, 23.323, 27.516, 29.261]"
KANDİLLİ KIZ LİSESİ (İSTANBUL - ÜSKÜDAR),4,"[22.037, 23.884, 26.383, 34.778]"
KERNEK ANADOLU LİSESİ (MALATYA - YEŞİLYURT),4,"[8.262, 20.156, 21.168, 27.311]"
ÖZEL UFUK ÇİZGİSİ FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),4,"[13.255, 26.383, 29.333, 30.722]"
ÖZEL TURUNCU FEN LİSESİ (İZMİR - TORBALI),4,"[6.066, 17.383, 22.581, 31.183]"
ATAKENT ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),4,"[8.932, 17.383, 20.037, 28.376]"
MUSTAFA KOYUNCU FEN LİSESİ (KAYSERİ - YAHYALI),4,"[3.294, 21.427, 30.469, 33.097]"
MUSTAFA SAFFET ANADOLU LİSESİ (İSTANBUL - KADIKÖY),4,"[13.713, 20.037, 30.322, 31.383]"
ÖZEL DERYA ÖNCÜ ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),4,"[10.901, 28.376, 29.049, 31.102]"
ÖZEL ŞAFAK ÖNCÜ KOLEJİ FEN LİSESİ (UŞAK - MERKEZ),4,"[4.686, 14.988, 30.469, 35.666]"
ÖZEL GÜZELBAHÇE BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (İZMİR - GÜZELBAHÇE),4,"[5.29, 27.413, 27.956, 31.493]"
ÖZEL GÜNEŞ KIZ FEN LİSESİ (ERZURUM - YAKUTİYE),4,"[18.719, 23.583, 28.414, 39.123]"
ÖZEL GÜRÇAĞ FEN LİSESİ (ANKARA - ÇANKAYA),4,"[2.774, 22.233, 29.065, 30.913]"
ALİ UZUNOĞLU ANADOLU İMAM HATİP LİSESİ (MANİSA - SOMA),4,"[14.988, 25.361, 28.342, 39.558]"
ALİ ÖZTAYLAN ANADOLU İMAM HATİP LİSESİ (BALIKESİR - BANDIRMA),4,"[7.43, 28.664, 33.408, 38.243]"
ILGIN TİCARET BORSASI FEN LİSESİ (KONYA - ILGIN),4,"[8.58, 22.037, 22.161, 25.361]"
ISPARTA ANADOLU LİSESİ (ISPARTA - MERKEZ),4,"[22.085, 23.783, 23.884, 34.285]"
ÖZEL TUĞRA FEN LİSESİ (KONYA - BEYŞEHİR),4,"[7.43, 13.25, 34.627, 38.057]"
KOCAELİ ANADOLU LİSESİ (KOCAELİ - BAŞİSKELE),4,"[6.639, 26.18, 28.342, 34.888]"
ÖZEL AMASYA KUTLUBEY KOLEJİ FEN LİSESİ (AMASYA - MERKEZ),4,"[11.535, 17.071, 26.383, 27.516]"
ÖZEL POLATLI AYYILDIZ ANADOLU LİSESİ (ANKARA - POLATLI),4,"[3.577, 5.29, 7.571, 9.716]"
ÖZEL ANKARA NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[15.007, 26.345, 36.073, 39.027]"
DENİZLİ ANADOLU İMAM HATİP LİSESİ (DENİZLİ - MERKEZEFENDİ),4,"[10.901, 18.333, 35.417, 35.666]"
BEŞİR BALCIOĞLU ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),4,"[19.442, 22.085, 27.165, 38.191]"
ÖZEL YALOVA UĞUR FEN LİSESİ (YALOVA - MERKEZ),4,"[3.294, 12.683, 28.342, 29.261]"
ÖZEL YAVUZ FEN LİSESİ (GİRESUN - KEŞAP),4,"[2.053, 5.29, 9.627, 17.828]"
ÖZEL YEDİ RENKLİ ÇINAR FEN LİSESİ (BURSA - MUDANYA),4,"[20.962, 23.884, 30.722, 38.243]"
YERKÖY ŞEHİT İDRİS AYDOĞDU FEN LİSESİ (YOZGAT - YERKÖY),4,"[13.25, 28.1, 35.079, 36.937]"
VİRANŞEHİR ANADOLU LİSESİ (ŞANLIURFA - VİRANŞEHİR),4,"[10.612, 19.077, 26.474, 34.531]"
ÖZEL OKUYAN DOĞRULAYAN TARTIŞAN UZMANLAR ANADOLU LİSESİ (ODTU) (ANKARA - ÇANKAYA),4,"[20.156, 28.704, 30.913, 33.982]"
ÖZEL ONİKİŞUBAT DOĞA KOLEJİ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),4,"[7.571, 23.646, 27.311, 38.2]"
ÖZEL NUN ANADOLU LİSESİ (İSTANBUL - BEYKOZ),4,"[7.42, 13.973, 26.044, 26.106]"
ÖZEL UZMANLAR ANADOLU LİSESİ (YALOVA - MERKEZ),4,"[5.946, 12.683, 27.595, 34.888]"
ÖZEL YENİMAHALLE SINAV ANADOLU LİSESİ (ANKARA - YENİMAHALLE),4,"[20.156, 21.103, 28.414, 36.073]"
ÖZEL ORTACA UĞUR ANADOLU LİSESİ (MUĞLA - ORTACA),4,"[7.32, 9.287, 16.761, 34.778]"
ÖZEL NOTRE DAME DE SION FRANSIZ LİSESİ (İSTANBUL - ŞİŞLİ),4,"[16.394, 17.949, 23.36, 29.883]"
HASAN TEKİN ADA ANADOLU LİSESİ (DENİZLİ - PAMUKKALE),4,"[22.161, 23.389, 27.829, 35.666]"
HASAN ÇAPAN ANADOLU LİSESİ (GAZİANTEP - NİZİP),4,"[29.182, 36.077, 36.794, 38.608]"
ÖZEL ZÜBEYDE HANIM FEN LİSESİ (İZMİR - BUCA),4,"[758.0, 7.32, 10.795, 28.236]"
ÖZEL ÇARŞAMBA MEKTEBİM KOLEJİ FEN LİSESİ (SAMSUN - ÇARŞAMBA),4,"[15.007, 17.071, 23.517, 38.2]"
ÖZEL KIZILTEPE ÇÖZÜM KOLEJİ ANADOLU LİSESİ (MARDİN - KIZILTEPE),4,"[14.61, 27.909, 37.312, 39.508]"
ÖZEL KIRŞEHİR ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),4,"[2.681, 14.136, 28.664, 36.548]"
HACI FETTAH KADOOĞLU ANADOLU LİSESİ (ŞIRNAK - CİZRE),4,"[17.828, 28.414, 36.077, 37.002]"
ÖZEL KEÇİÖREN FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - KEÇİÖREN),4,"[2.681, 21.427, 23.646, 27.034]"
ÖZEL DENİZLİ BAHÇEŞEHİR ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),4,"[4.91, 23.457, 24.752, 38.55]"
ÖZEL IĞDIR BAHÇEŞEHİR FEN LİSESİ (IĞDIR - MERKEZ),4,"[1.935, 2.519, 3.113, 19.22]"
ÖZEL IŞIN YAMAN ANADOLU LİSESİ (ANKARA - POLATLI),4,"[28.342, 29.333, 30.608, 39.206]"
ÖZEL KIRŞEHİR SİMYA ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),4,"[1.935, 26.345, 27.034, 36.937]"
ÖZEL KOCAELİ BİLNET FEN LİSESİ (KOCAELİ - İZMİT),4,"[6.639, 22.314, 26.044, 32.79]"
ÖZEL DERİK ÇÖZÜM ANADOLU LİSESİ (MARDİN - DERİK),4,"[8.58, 27.909, 36.794, 38.608]"
ANTALYA ANADOLU İMAM HATİP LİSESİ (ANTALYA - MURATPAŞA),4,"[13.25, 23.783, 26.897, 34.2]"
ARTUKLU ANADOLU İMAM HATİP LİSESİ (MARDİN - ARTUKLU),4,"[13.25, 24.752, 27.427, 27.909]"
FATİH ANADOLU LİSESİ (ANKARA - SİNCAN),4,"[1.603, 9.716, 34.163, 34.627]"
ÖZEL BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (İSTANBUL - EYÜPSULTAN),4,"[1.234, 1.858, 3.294, 3.577]"
ÖZEL ÇANKIRI KOLEJİ YILDIZTEPE FEN LİSESİ (ÇANKIRI - MERKEZ),4,"[17.828, 22.085, 36.073, 39.558]"
ÖZEL MUSTAFAKEMALPAŞA SINAV KOLEJİ FEN LİSESİ (BURSA - MUSTAFAKEMALPAŞA),4,"[10.165, 13.176, 26.805, 29.446]"
ÖZEL MUŞ FİNAL AKADEMİ ANADOLU LİSESİ (MUŞ - MERKEZ),4,"[19.077, 27.352, 29.19, 36.271]"
ÖZEL NAZMİ ARIKAN FEN BİLİMLERİ CANİK FEN LİSESİ (ORDU - ÜNYE),4,"[9.589, 21.427, 39.027, 39.206]"
ÖZEL ÇUBUK HEDEFİM ANADOLU LİSESİ (ANKARA - ÇUBUK),4,"[452.0, 19.32, 25.361, 37.839]"
KÜTAHYA AKŞEMSETTİN KIZ ANADOLU İMAM HATİP LİSESİ (KÜTAHYA - MERKEZ),4,"[20.156, 23.323, 29.883, 30.038]"
ÖZEL AÇI KOLEJİ FEN LİSESİ (BURSA - MUSTAFAKEMALPAŞA),4,"[24.0, 2.519, 6.639, 16.846]"
ÖZEL AĞRI DOĞA ANADOLU LİSESİ (AĞRI - MERKEZ),4,"[5.29, 11.277, 28.414, 39.123]"
TİRE KUTSAN ANADOLU LİSESİ (İZMİR - TİRE),4,"[17.273, 27.427, 28.1, 34.627]"
ÖZEL ÇORUM DOĞA FEN LİSESİ (ÇORUM - MERKEZ),4,"[21.103, 21.427, 36.548, 36.921]"
ÖZEL MODERN ORTADOĞU ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[13.45, 25.811, 34.627, 37.839]"
ÖZEL ÇUKUROVA ERAL FEN LİSESİ (ADANA - ÇUKUROVA),4,"[10.612, 17.273, 25.811, 33.937]"
ÖZEL BAHÇEŞEHİR KOLEJİ DR. BURHAN KARA FEN LİSESİ (ANKARA - ETİMESGUT),4,"[1.804, 19.498, 34.037, 39.027]"
TEVFİK İLERİ ANADOLU LİSESİ (RİZE - MERKEZ),4,"[11.535, 26.897, 29.719, 38.243]"
TOBB FERDİ YİĞİT ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - BAĞLAR),4,"[8.58, 19.077, 26.474, 29.19]"
BANDIRMA ANADOLU LİSESİ (BALIKESİR - BANDIRMA),4,"[13.125, 22.581, 28.704, 37.002]"
ÖZEL MUDANYA YOLU FARKLI KALİTE MODERN FEN LİSESİ (BURSA - MUDANYA),4,"[2.774, 3.689, 27.427, 34.2]"
TURGUTLU ANADOLU LİSESİ (MANİSA - TURGUTLU),4,"[13.176, 17.828, 34.163, 35.36]"
TÜLAY BAŞARAN ANADOLU LİSESİ (SAMSUN - İLKADIM),4,"[10.901, 13.487, 21.427, 38.608]"
ÖZEL MAVİ KAVRAM ANADOLU LİSESİ (MARDİN - KIZILTEPE),4,"[13.176, 27.909, 31.183, 36.794]"
ÖZEL MEFKURE FEN LİSESİ (SAKARYA - ERENLER),4,"[7.571, 17.018, 22.581, 26.18]"
ULUSLARARASI KAPTAN AHMET ERDOĞAN ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAYRAMPAŞA),4,"[12.201, 29.19, 29.719, 33.854]"
ÖZEL BOZOVA BÜYÜK DEĞİŞİM ANADOLU LİSESİ (ŞANLIURFA - BOZOVA),4,"[10.321, 13.176, 17.273, 19.705]"
ÖZEL BOĞAZİÇİ ANADOLU LİSESİ (ISPARTA - MERKEZ),4,"[3.577, 8.58, 17.824, 34.285]"
ÖZEL BURSA EĞİTİM KALESİ ANADOLU LİSESİ (BURSA - NİLÜFER),4,"[11.527, 22.085, 34.888, 36.935]"
ÖZEL BURSA FEN GURUP FEN LİSESİ (BURSA - NİLÜFER),4,"[5.947, 7.43, 30.722, 34.888]"
MEHMET BAYDAR ANADOLU LİSESİ (İSTANBUL - AVCILAR),4,"[9.162, 16.552, 28.1, 31.544]"
ÖZEL KOŞUYOLU FİNAL ANADOLU LİSESİ (İSTANBUL - KADIKÖY),4,"[13.713, 27.829, 28.342, 33.854]"
MEV KOLEJİ ÖZEL BÜYÜKÇEKMECE FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),4,"[4.344, 18.6, 27.815, 27.956]"
MERKEZ ATATÜRK ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),4,"[21.168, 27.311, 31.66, 32.565]"
ÖZEL KADIKÖY NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (İSTANBUL - KADIKÖY),4,"[6.639, 18.69, 29.446, 38.243]"
ÖZEL KADİRLİ ÇUKUROVA ARTI KOEJİ FEN LİSESİ (OSMANİYE - KADİRLİ),4,"[945.0, 12.342, 23.457, 31.66]"
ÜMİTKÖY ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[15.66, 18.131, 19.32, 23.272]"
ÖZEL MERAM YÖNTEM FEN LİSESİ (KONYA - MERAM),4,"[1.935, 7.43, 17.824, 19.442]"
ÖZEL MERSİN UĞUR FEN LİSESİ (MERSİN - YENİŞEHİR),4,"[6.639, 9.716, 26.429, 33.863]"
TURAN ERDOĞAN YILMAZ FEN LİSESİ (ANTALYA - KAŞ),4,"[27.165, 28.342, 37.002, 39.047]"
ÖZEL BANDIRMA BİREY FEN LİSESİ (BALIKESİR - BANDIRMA),4,"[2.963, 6.399, 38.057, 39.027]"
ÖZEL ÇAĞDAŞ ÖNCÜ ANADOLU LİSESİ (BURSA - NİLÜFER),4,"[11.733, 21.168, 27.815, 33.932]"
ÖZEL ÇORLU NAZMİ ARIKAN FEN BİLİMLERİ FEN LİSESİ (TEKİRDAĞ - ÇORLU),4,"[20.037, 29.049, 30.795, 37.839]"
ÖZEL İDEAL BEŞGEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[2.681, 12.342, 30.795, 39.458]"
ÖZEL ÜÇGEN ANADOLU LİSESİ (ANKARA - ETİMESGUT),4,"[18.6, 24.13, 30.608, 35.349]"
TÜRK TELEKOM FEN LİSESİ (SİNOP - BOYABAT),4,"[23.517, 26.897, 31.544, 33.854]"
ÖZEL İSKENDERUN TEKYILDIZ ANADOLU LİSESİ (HATAY - İSKENDERUN),4,"[7.31, 30.722, 33.408, 36.077]"
ÖZEL BALIKESİR SİMYA KOLEJİ (BALIKESİR - ALTIEYLÜL),4,"[5.29, 12.683, 13.176, 17.828]"
ÖZEL KONYA ŞEHİR ANADOLU LİSESİ (KONYA - SELÇUKLU),4,"[9.716, 27.516, 27.815, 35.968]"
ÖZEL KİPAŞ ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),4,"[8.58, 11.277, 29.049, 39.28]"
ÖZEL BODRUM BAHÇEŞEHİR ANADOLU LİSESİ (MUĞLA - BODRUM),4,"[3.659, 32.334, 37.839, 39.206]"
ÖZEL BAŞAKŞEHİR BİREY ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),4,"[5.725, 26.792, 33.932, 35.831]"
ÖZEL MANİSA FEN BİLİMLERİ FEN LİSESİ (MANİSA - YUNUSEMRE),4,"[25.654, 29.065, 34.531, 35.495]"
ÖZEL ÖLÇÜN ANADOLU LİSESİ (SAKARYA - ADAPAZARI),4,"[1.348, 7.721, 13.176, 26.044]"
ULUSLARARASI ASHABI KEHF ANADOLU İMAM HATİP LİSESİ (MERSİN - TARSUS),4,"[5.29, 8.58, 21.427, 25.78]"
MEHMET AKİF ERSOY ANADOLU LİSESİ (BATMAN - MERKEZ),4,"[19.077, 20.962, 23.448, 36.794]"
ÖZEL İSTEM KOLEJİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),4,"[14.136, 19.498, 23.451, 31.577]"
ÖZEL İSKENDERUN UĞUR FEN LİSESİ (HATAY - İSKENDERUN),4,"[9.295, 16.846, 35.417, 36.937]"
ÖZEL BEYSUKENT ANADOLU LİSESİ (ANKARA - ÇANKAYA),4,"[286.0, 2.408, 15.359, 19.32]"
ÖZEL MAVİ ADAY ANADOLU LİSESİ (SAMSUN - BAFRA),4,"[11.535, 17.071, 23.517, 30.795]"
TED BURSA ÖZEL KOLEJİ (BURSA - MUDANYA),4,"[9.025, 15.359, 27.815, 33.932]"
MELİKŞAH ANADOLU İMAM HATİP LİSESİ (HATAY - KIRIKHAN),4,"[4.686, 13.25, 30.469, 36.077]"
CUMHURİYET ANADOLU LİSESİ (DENİZLİ - PAMUKKALE),4,"[14.988, 17.273, 27.034, 38.608]"
CELAL TORAMAN ANADOLU LİSESİ (BALIKESİR - BURHANİYE),4,"[20.419, 26.897, 27.516, 37.839]"
ÖZEL SEV LİSESİ (İSTANBUL - ÇEKMEKÖY),4,"[16.394, 22.181, 26.044, 27.815]"
ÖZEL SEVGİ ANADOLU LİSESİ (ANKARA - GÖLBAŞI),4,"[5.145, 6.128, 35.652, 36.937]"
ÇİNE MADRAN ANADOLU LİSESİ (AYDIN - ÇİNE),4,"[10.165, 17.383, 20.33, 34.778]"
ÖZEL AKHİSAR KOLEJİ FEN LİSESİ (MANİSA - AKHİSAR),4,"[17.828, 29.049, 29.256, 37.002]"
ÖZEL FİNAL AKADEMİ FEN LİSESİ (DİYARBAKIR - ERGANİ),4,"[3.294, 14.61, 19.077, 36.794]"
ÖZEL ENVAR FEN LİSESİ (ANTALYA - KEPEZ),4,"[1.242, 4.27, 24.752, 34.2]"
FMV ÖZEL AYAZAĞA IŞIK LİSESİ (İSTANBUL - SARIYER),4,"[19.963, 27.165, 27.956, 29.883]"
FMV. ÖZEL ERENKÖY IŞIK LİSESİ (İSTANBUL - KADIKÖY),4,"[30.722, 33.05, 37.839, 38.243]"
ÖZEL ENDERUN FEN LİSESİ (KONYA - KARATAY),4,"[22.161, 25.361, 25.78, 38.55]"
ŞEHİT FUAT BAHADIR BUHARALIOĞLU ANADOLU LİSESİ (YOZGAT - MERKEZ),4,"[8.262, 28.1, 35.36, 36.937]"
15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ (TOKAT - MERKEZ),4,"[20.156, 22.575, 26.345, 35.079]"
ÖZEL ETİMESGUT FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ETİMESGUT),4,"[6.31, 15.66, 22.287, 31.866]"
AHMED ARİF ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),4,"[7.32, 19.077, 23.284, 27.909]"
